path,start_times,end_times
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_0/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_1/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_10/outward_facing_mic.wav,"[3.0, 3.17]","[3.17, 3.585]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_11/outward_facing_mic.wav,"[0.15, 1.72, 1.88, 2.04, 2.2, 2.43, 2.59, 3.84, 4.0, 4.16, 4.32, 5.97, 8.08, 8.24, 8.43, 8.59]","[0.565, 1.88, 2.04, 2.2, 2.43, 2.59, 3.005, 4.0, 4.16, 4.32, 4.735, 6.385, 8.24, 8.43, 8.59, 9.004999999999999]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_2/outward_facing_mic.wav,"[0.48, 0.95, 1.16, 3.56, 3.72, 3.92, 4.15, 6.28, 6.44, 6.6, 6.76, 8.85, 9.01, 9.18, 9.72, 11.47, 11.67, 12.2, 12.36, 13.51]","[0.895, 1.16, 1.575, 3.72, 3.92, 4.15, 4.565, 6.44, 6.6, 6.76, 7.175, 9.01, 9.18, 9.594999999999999, 10.135, 11.67, 12.084999999999999, 12.36, 12.774999999999999, 13.924999999999999]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_3/outward_facing_mic.wav,"[2.76, 6.13, 6.33, 6.5, 12.37, 14.63]","[3.175, 6.33, 6.5, 6.915, 12.784999999999998, 15.045]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_4/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_5/outward_facing_mic.wav,"[2.33, 2.49, 2.67, 5.28, 7.14, 7.42, 7.61]","[2.49, 2.67, 3.085, 5.695, 7.42, 7.61, 8.025]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_6/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_7/outward_facing_mic.wav,[6.42],[6.835]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_8/outward_facing_mic.wav,"[0.56, 0.85, 1.01, 1.2, 3.21, 3.37, 3.56, 3.72, 3.89, 6.0, 6.16, 6.32, 6.48, 8.49, 8.65, 8.82, 9.02, 9.19, 9.35, 10.67, 10.85, 11.07, 11.23]","[0.85, 1.01, 1.2, 1.615, 3.37, 3.56, 3.72, 3.89, 4.305, 6.16, 6.32, 6.48, 6.8950000000000005, 8.65, 8.82, 9.02, 9.19, 9.35, 9.764999999999999, 10.85, 11.07, 11.23, 11.645]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_music/recording_9/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_0/outward_facing_mic.wav,"[5.3, 8.22]","[5.715, 8.635]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_1/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_10/outward_facing_mic.wav,[14.63],[15.045]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_11/outward_facing_mic.wav,"[0.39, 0.55, 0.71, 0.87, 3.83, 3.99, 4.15, 4.31, 7.19, 7.35, 7.51, 7.67, 10.09, 10.25, 10.41, 10.57]","[0.55, 0.71, 0.87, 1.285, 3.99, 4.15, 4.31, 4.725, 7.35, 7.51, 7.67, 8.084999999999999, 10.25, 10.41, 10.57, 10.985]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_2/outward_facing_mic.wav,[9.97],[10.385]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_3/outward_facing_mic.wav,"[0.41, 2.06, 2.22, 2.38, 2.54, 3.89, 4.05, 4.23, 4.4, 4.72, 6.2, 6.57, 6.73, 7.99, 8.15, 8.31, 8.47]","[0.825, 2.22, 2.38, 2.54, 2.955, 4.05, 4.23, 4.4, 4.72, 5.135, 6.57, 6.73, 7.1450000000000005, 8.15, 8.31, 8.47, 8.885]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_4/outward_facing_mic.wav,"[0.29, 0.45, 1.92, 2.08, 2.24, 2.4, 2.74, 4.2, 4.45, 4.61, 5.99, 6.53, 8.11, 8.27]","[0.45, 0.865, 2.08, 2.24, 2.4, 2.74, 3.1550000000000002, 4.45, 4.61, 5.025, 6.405, 6.945, 8.27, 8.684999999999999]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_5/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_6/outward_facing_mic.wav,"[0.0, 0.31, 4.64, 4.84, 7.43, 7.6]","[0.31, 0.725, 4.84, 5.255, 7.6, 8.014999999999999]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_7/outward_facing_mic.wav,"[2.74, 4.09, 4.58]","[3.1550000000000002, 4.505, 4.995]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_8/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_nothing/recording_9/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_0/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_1/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_10/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_11/outward_facing_mic.wav,"[3.1, 3.27, 3.44, 3.84, 4.03, 5.53, 5.72, 5.92, 8.29, 8.49, 8.7]","[3.27, 3.44, 3.84, 4.03, 4.445, 5.72, 5.92, 6.335, 8.49, 8.7, 9.114999999999998]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_2/outward_facing_mic.wav,[2.64],[3.055]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_3/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_4/outward_facing_mic.wav,"[0.72, 0.89, 1.26, 2.73, 2.93, 3.12, 3.28, 3.49, 3.65, 4.97, 6.55, 6.71, 6.88, 7.04, 7.27, 8.72, 8.88, 9.04, 9.2]","[0.89, 1.26, 1.675, 2.93, 3.12, 3.28, 3.49, 3.65, 4.0649999999999995, 5.385, 6.71, 6.88, 7.04, 7.27, 7.685, 8.88, 9.04, 9.2, 9.614999999999998]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_5/outward_facing_mic.wav,"[5.5, 9.3, 9.5]","[5.915, 9.5, 9.915]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_6/outward_facing_mic.wav,"[0.95, 1.14, 1.34, 2.86, 3.08, 3.24, 3.43, 5.52, 5.68, 6.99, 7.15, 7.31, 7.47, 7.64, 7.8, 9.5, 9.66, 9.94, 11.19]","[1.14, 1.34, 1.7550000000000001, 3.08, 3.24, 3.43, 3.845, 5.68, 6.095, 7.15, 7.31, 7.47, 7.64, 7.8, 8.215, 9.66, 9.94, 10.354999999999999, 11.604999999999999]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_7/outward_facing_mic.wav,[1.05],[1.465]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_8/outward_facing_mic.wav,"[0.81, 4.01, 4.33, 4.49, 6.55, 6.75, 7.11, 7.27]","[1.225, 4.33, 4.49, 4.905, 6.75, 7.11, 7.27, 7.685]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_someone_else_cough/recording_9/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_traffic/recording_0/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_traffic/recording_1/outward_facing_mic.wav,"[0.66, 0.82, 0.98, 1.14, 2.9, 3.06, 3.36, 3.64, 5.35, 5.51, 5.67, 5.83, 5.99, 6.15, 6.31, 7.91, 8.07, 8.23, 8.39, 10.34, 10.5, 10.66, 10.82, 10.98]","[0.82, 0.98, 1.14, 1.555, 3.06, 3.36, 3.64, 4.055, 5.51, 5.67, 5.83, 5.99, 6.15, 6.31, 6.725, 8.07, 8.23, 8.39, 8.805, 10.5, 10.66, 10.82, 10.98, 11.395]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_traffic/recording_10/outward_facing_mic.wav,"[5.24, 5.44, 5.85, 7.41, 7.67]","[5.44, 5.85, 6.265, 7.67, 8.084999999999999]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_traffic/recording_11/outward_facing_mic.wav,[],[]
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_traffic/recording_2/outward_facing_mic.wav,"[1.47, 1.65, 3.1, 3.88, 5.39, 5.55, 5.71, 5.87, 6.03, 6.19, 6.35, 7.76, 7.92, 8.08, 8.24, 8.46, 8.62, 10.01, 10.19]","[1.65, 2.065, 3.515, 4.295, 5.55, 5.71, 5.87, 6.03, 6.19, 6.35, 6.765, 7.92, 8.08, 8.24, 8.46, 8.62, 9.034999999999998, 10.19, 10.604999999999999]"
/mnt/data728/datasets/coughvit-test-sets/cough-detection/20724/mov_sit/background_noise_traffic/recording_3/outward_facing_mic.wav,[9.39],[9.805]
